Open,High,Low,Close,Volume,Adj Close,Favorable
82.07,83.849998,81.910004,83.449997,4137400,83.449997,YES
83.559998,84.059998,83.160004,83.709999,4361500,83.709999,YES
83.120003,83.800003,83.010002,83.769997,3127700,83.769997,YES
83.82,84.480003,83.25,83.349998,4739300,83.349998,NO
83,83.949997,82.339996,83.57,4932700,83.57,YES
81.970001,83.410004,81.830002,82.75,5802300,82.75,NO
80.790001,82.099998,80.709999,81.730003,4870200,81.730003,NO
81.599998,81.82,80.720001,81.019997,5092900,81.019997,NO
82.260002,82.480003,80.150002,81.089996,13749700,81.089996,YES
76.769997,78.489998,76.639999,77.870003,7229400,77.870003,NO
77.459999,77.550003,76.57,76.769997,4569200,76.769997,NO
76.669998,77.690002,76,77.309998,4127500,77.309998,YES
76,77.339996,75.949997,76.370003,3575200,76.370003,NO
76.449997,76.790001,75.190002,75.889999,2718900,75.889999,NO
75.989998,76.919998,75.779999,75.790001,2484200,75.790001,NO
75.129997,75.980003,74.949997,75.919998,2701300,75.919998,YES
74.25,75.32,74.199997,74.620003,2118100,74.620003,NO
73.5,74.32,73.169998,74.25,3080100,74.25,NO
74.110001,74.589996,73.639999,73.809998,2082900,73.809998,NO
74.309998,74.629997,73.540001,73.989998,2834500,73.989998,YES
76.400002,76.68,74.379997,74.900002,3266800,74.900002,YES
76.300003,77.43,75.709999,77.25,3281500,77.25,YES
75.010002,76.059998,74.480003,75.800003,3221300,75.800003,NO
75.379997,76.639999,74.959999,75.379997,3791200,75.379997,NO
75.669998,76.199997,74.800003,75.690002,3339500,75.690002,YES
76.800003,76.800003,75.800003,76.209999,1943900,76.209999,YES
76.18,76.830002,75.879997,76.510002,2445200,76.510002,YES
76.230003,76.870003,75.349998,76.480003,3174100,76.480003,NO
76.660004,77.82,76.5,77.150002,3540300,77.150002,YES
76.199997,76.639999,75.790001,76.139999,1988600,76.139999,NO
77.589996,77.589996,75.529999,76.190002,2162800,76.190002,YES
76.239998,77.290001,75.860001,77.269997,1908300,77.269997,YES
76.25,76.540001,75.879997,76.309998,2123800,76.309998,NO
76,76.589996,75.660004,76.150002,2687500,76.150002,NO
74.769997,76.190002,74.449997,75.949997,3090200,75.949997,NO
74.529999,74.540001,73.440002,74.269997,2239100,74.269997,NO
75.470001,75.5,74.129997,74.160004,2142600,74.160004,NO
75.720001,75.940002,74.300003,74.849998,2375700,74.849998,YES
74.910004,75.459999,74.68,75.32,3833500,75.32,YES
74.760002,75.68,74.470001,75.580002,2033300,75.580002,YES
74.879997,75.510002,74.360001,74.580002,2359300,74.580002,NO
75.849998,76.440002,75.410004,75.690002,2978100,75.690002,YES
73.379997,75.949997,73.110001,75.730003,4547700,75.730003,YES
74.059998,74.389999,73.379997,73.830002,4207100,73.830002,NO
73,74.660004,72.959999,74.300003,5172500,74.300003,YES
71.540001,72.690002,70.709999,72.300003,4596200,72.300003,NO
72.389999,72.68,71.410004,71.949997,2681800,71.949997,NO
71.540001,72.449997,71.059998,72.440002,2698800,72.440002,YES
71.690002,72.580002,71.489998,71.779999,2938600,71.779999,NO
72.160004,73.279999,71.699997,72.849998,3341600,72.849998,YES
72.5,72.669998,71.690002,72.25,2846300,72.25,NO
73.099998,73.540001,72.190002,72.650002,5951400,72.650002,YES
72.529999,73.18,71.599998,72.720001,3369200,72.720001,YES
71.269997,72.919998,71.110001,72.730003,2981200,72.730003,YES
71.779999,72.349998,71.089996,71.699997,3201300,71.699997,NO
71.309998,72.489998,71.169998,72.220001,3848600,72.220001,YES
71.160004,71.900002,70.870003,71.629997,3425100,71.629997,NO
71.440002,72.32,69.790001,70.699997,4977700,70.699997,NO